Time (ps),Pressure (bar)
406.000000,365.094360

407.000000,-771.709961

408.000000,332.814362

409.000000,751.443176

410.000000,-183.979568

411.000000,1913.308105

412.000000,-235.520493

413.000000,934.300293

414.000000,570.902466

415.000000,393.537445

416.000000,-492.180878

417.000000,404.977081

418.000000,804.017761

419.000000,-43.712505

420.000000,-539.432373

421.000000,-471.806244

422.000000,-907.114197

423.000000,-410.275299

424.000000,189.372391

425.000000,45.344097

426.000000,-690.415527

427.000000,-52.491779

428.000000,-1382.429077

429.000000,-73.600456

430.000000,10.563191

431.000000,808.733582

432.000000,269.461151

433.000000,117.971672

434.000000,351.269531

435.000000,-52.292160

436.000000,141.249283

437.000000,603.860962

438.000000,-242.944229

439.000000,267.866913

440.000000,-558.867615

441.000000,-81.812065

442.000000,1227.032104

443.000000,-25.861532

444.000000,598.340576

445.000000,495.428223

446.000000,1096.252319

447.000000,375.155518

448.000000,-1024.691772

449.000000,-853.396667

450.000000,476.077148

451.000000,-566.992371

452.000000,1557.690552

453.000000,-369.474731

454.000000,-1049.043579

455.000000,457.947968

456.000000,60.554035

457.000000,-657.128113

458.000000,-133.819290

459.000000,1084.597290

460.000000,311.837158

461.000000,638.809082

462.000000,513.544556

463.000000,-480.604858

464.000000,552.868835

465.000000,-152.569946

466.000000,-1370.198364

467.000000,391.926666

468.000000,-1109.788574

469.000000,-108.027855

470.000000,379.979095

471.000000,831.645996

472.000000,344.214691

473.000000,-127.291504

474.000000,1019.932617

475.000000,928.439880

476.000000,-66.811119

477.000000,250.110519

478.000000,-1652.336548

479.000000,-1706.492554

480.000000,-904.696472

481.000000,-236.474243

482.000000,-45.661152

483.000000,780.403870

484.000000,-1446.889160

485.000000,435.015411

486.000000,-108.604469

487.000000,188.314987

488.000000,308.020660

489.000000,-788.064636

490.000000,-74.032478

491.000000,104.991356

492.000000,32.827412

493.000000,404.489380

494.000000,-810.001770

495.000000,752.547546

496.000000,-544.819092

497.000000,-293.256104

498.000000,-1180.111938

499.000000,-838.831848

500.000000,602.054932

501.000000,948.377686

502.000000,270.105591

503.000000,584.833313

504.000000,-33.397991

505.000000,948.598694

506.000000,1169.347046

507.000000,652.070496

508.000000,-1324.287231

509.000000,1242.864380

510.000000,-575.121582

511.000000,-37.615925

512.000000,789.589111

513.000000,840.760254

514.000000,527.555237

515.000000,-295.226318

516.000000,359.631958

517.000000,19.980408

518.000000,-555.811707

519.000000,-243.802917

520.000000,1090.047974

521.000000,-290.997345

522.000000,-864.480042

523.000000,297.167511

524.000000,-1415.348999

525.000000,-2183.444092

526.000000,550.030334

527.000000,968.456360

528.000000,435.525391

529.000000,1443.973633

530.000000,1595.277344

531.000000,-1460.589233

532.000000,-349.388885

533.000000,163.605148

534.000000,1.244344

535.000000,112.436615

536.000000,-375.959015

537.000000,-1574.700684

538.000000,-50.392731

539.000000,250.781494

540.000000,-672.121155

541.000000,301.122437

542.000000,1275.753784

543.000000,-575.417664

544.000000,-1682.762817

545.000000,1720.992554

546.000000,-84.505585

547.000000,-536.151794

548.000000,53.848347

549.000000,-426.877441

550.000000,1654.045410

551.000000,945.094238

552.000000,-545.217590

553.000000,-1633.654663

554.000000,655.153992

555.000000,735.920654

556.000000,-620.236511

557.000000,1585.935669

558.000000,-261.066986

559.000000,1089.327271

560.000000,1252.201538

561.000000,-1527.589844

562.000000,-912.898682

563.000000,140.046021

564.000000,-580.808167

565.000000,-39.034424

566.000000,-84.461510

567.000000,1023.035095

568.000000,14.218852

569.000000,53.732533

570.000000,456.003571

571.000000,355.687256

572.000000,-618.198059

573.000000,1234.171143

574.000000,-1643.819458

575.000000,776.240967

